year;observed;spa2012;spa2013;spa2014;spa2015;spa2016;spa2017;spa2018;spa2019;spa2020;spa2021
2000;279049;;;;;;;;;;
2001;283361;;;;;;;;;;
2002;286575;;;;;;;;;;
2003;288471;;;;;;;;;;
2004;290570;;;;;;;;;;
2005;293577;;;;;;;;;;
2006;299891;;;;;;;;;;
2007;307672;;;;;;;;;;
2008;315459;;;;;;;;;;
2009;319368;;;;;;;;;;
2010;317630;;;;;;;;;;
2011;318452;;;;;;;;;;
2012;319575;319575;;;;;;;;;
2013;321857;322086;321857;;;;;;;;
2014;325671;324988;324366;325671;;;;;;;
2015;329100;328062;326895;329696;329100;;;;;;
2016;332529;331368;329929;333480;332491;332529;;;;;
2017;338349;334838;333151;337281;335807;336202;338349;;;;
2018;348450;338279;336370;341282;339086;339948;345876;348450;;;
2019;356991;341694;339557;345605;342590;343774;353551;356779;356991;;
2020;364134;345066;342716;349817;346213;347700;361262;363906;363786;364134;
2021;368792;348389;345836;353930;349786;351759;368637;370417;369707;367734;368792
2022;376248;351638;348914;357904;353287;355719;374613;376639;375371;373389;376928
2023;;354830;351953;361755;356700;359576;378077;382841;380915;380543;385868
2024;;357968;354945;365469;360033;363335;381492;382774;386525;387864;395967
2025;;361010;357894;369020;363270;366963;384824;382474;386149;395483;407289
2026;;363992;360786;372420;366390;370453;388087;381945;385537;399801;420260
2027;;366893;363618;375639;369411;373797;391248;381196;384672;402079;419275
2028;;369739;366397;378659;372309;376981;394294;380215;383551;402537;418575
2029;;372528;369127;381484;375077;380011;397221;382711;382173;403802;418655
2030;;375256;371796;384209;377699;382873;400015;385137;384539;405372;419858
2031;;377922;374413;386847;380241;385547;402678;387505;386837;407077;421524
2032;;380538;376979;389385;382687;388111;405208;389803;389075;408845;423387
2033;;383101;379493;391837;385044;390572;407601;392032;391237;410600;425337
2034;;385620;381968;394202;387314;392928;409871;394202;393351;412317;427327
2035;;388082;384397;396501;389523;395201;412030;396315;395399;413980;429302
2036;;390502;386773;398729;391655;397381;414090;398387;397409;415582;431255
2037;;392874;389115;400895;393731;399479;416058;400408;399370;417109;433168
2038;;395201;391402;403012;395751;401498;417939;402367;401281;418562;435038
2039;;397483;393655;405062;397714;403455;419744;404274;403146;419956;436865
2040;;399724;395866;407068;399633;405338;421477;406119;404951;421265;438634
2041;;401918;398031;409026;401506;407159;423152;407918;406709;422492;440348
2042;;404073;400152;410956;403339;408939;424758;409657;408414;423638;442000
2043;;406189;402235;412843;405129;410660;426309;411337;410056;424691;443582
2044;;408268;404274;414693;406879;412330;427805;412937;411623;425686;445108
2045;;410302;406271;416522;408601;413976;429249;414475;413125;426608;446577
2046;;412299;408229;418315;410290;415581;430650;415945;414555;427476;447993
2047;;414246;410140;420077;411951;417154;432008;417353;415919;428292;449362
2048;;416158;412016;421810;413575;418717;433336;418702;417230;429078;450702
2049;;418028;413845;423513;415169;420252;434618;419990;418475;429842;452002
2050;;419860;415627;425192;416740;421770;435880;421235;419671;430610;453291
2051;;421652;417371;426848;418296;423276;437126;422438;420826;431388;454586
2052;;423404;419083;428477;419822;424769;438349;423600;421946;432171;455871
2053;;425077;420715;430085;421320;426257;439550;424726;423032;432972;457157
2054;;426680;422286;431656;422797;427731;440735;425814;424086;433807;458447
2055;;428220;423790;433206;424260;429192;441910;426866;425113;434667;459753
2056;;429704;425241;434723;425693;430631;443053;427888;426107;435569;461083
2057;;431130;426633;436213;427107;432062;444169;428868;427065;436480;462429
2058;;432500;427983;437666;428487;433458;445241;429801;427981;437406;463779
2059;;433822;429286;439086;429838;434827;446268;430685;428844;438316;465115
2060;;435106;430545;440468;431155;436159;447236;431516;429658;439210;466418
2061;;436355;;441816;432447;437450;448140;432287;430415;440075;467688
2062;;;;443135;433714;438711;448969;433010;431109;440894;468907
2063;;;;444416;434945;439924;449723;433685;431751;441670;470069
2064;;;;445666;436152;441098;450401;434312;432336;442385;471175
2065;;;;446881;437336;442228;451010;434900;432881;443038;472217
2066;;;;;438492;443309;451543;435453;433375;443619;473177
2067;;;;;;;;435966;433831;444126;474059
2068;;;;;;;;436453;434250;444557;474867
2069;;;;;;;;;434613;444875;475563
2070;;;;;;;;;;445091;476152
2071;;;;;;;;;;;476635
